Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
237,Huarmey,PE,-10.0681,-78.1522,64.27,80,34,scattered clouds
238,Lebu,CL,-37.6167,-73.65,50.04,92,100,light rain
239,Bredasdorp,ZA,-34.5322,20.0403,54.28,93,51,broken clouds
240,Prince Rupert,CA,54.3161,-130.3201,60.89,74,75,light rain
241,Ambon,ID,-3.6954,128.1814,75.34,100,40,moderate rain
242,Alta Floresta,BR,-9.8756,-56.0861,84.07,33,57,broken clouds
243,Genhe,CN,50.7833,121.5167,62.04,76,100,overcast clouds
244,Sisimiut,GL,66.9395,-53.6735,48.09,85,68,broken clouds
245,Corinth,GR,37.9407,22.9573,79.63,42,0,clear sky
246,Itoman,JP,26.1247,127.6694,82.42,89,20,few clouds
247,Hofn,IS,64.2539,-15.2082,52.27,94,100,overcast clouds
248,Guia De Isora,ES,28.2115,-16.7795,81.23,31,25,scattered clouds
249,Lingyuan,CN,41.24,119.4011,64.67,95,99,moderate rain
250,Sitka,US,57.0531,-135.33,53.49,94,90,light rain
251,Celendin,PE,-6.8703,-78.1517,63.12,63,92,light rain
252,Salinas,US,36.6777,-121.6555,97.56,68,40,scattered clouds
253,Terrace Bay,CA,48.7834,-87.1,73.02,76,19,few clouds
254,Acapulco,MX,16.8634,-99.8901,84.78,77,62,broken clouds
255,Mopipi,BW,-21.1833,24.8833,60.12,57,0,clear sky
256,Koilas,GR,37.4095,23.1147,74.59,40,0,clear sky
257,Lahij,YE,13.1667,44.5833,86.76,46,93,overcast clouds
258,Vagur,FO,61.4732,-6.8119,49.12,70,49,scattered clouds
259,Canchungo,GW,12.0672,-16.0333,80.67,91,100,overcast clouds
260,General Roca,AR,-39.0333,-67.5833,55.8,20,100,overcast clouds
261,Shelburne,CA,44.0787,-80.2041,73.89,53,1,clear sky
262,Jiayuguan,CN,39.8167,98.3,71.22,32,14,few clouds
263,La Ronge,CA,55.1001,-105.2842,79.02,31,75,broken clouds
264,Chokurdakh,RU,70.6333,147.9167,44.87,58,60,broken clouds
265,Henties Bay,NA,-22.116,14.2845,53.85,86,7,clear sky
266,Saint-Augustin,CA,51.226,-58.6502,65.66,74,84,broken clouds
267,Puerto Cabezas,NI,14.0351,-83.3888,85.96,79,20,few clouds
268,Marystown,CA,47.1666,-55.1483,66.07,97,53,broken clouds
269,Port Hawkesbury,CA,45.6169,-61.3485,74.32,84,1,clear sky
270,Laguna,US,38.421,-121.4238,100.47,31,1,haze
271,Lagoa,PT,39.05,-27.9833,71.38,81,99,overcast clouds
272,Teahupoo,PF,-17.8333,-149.2667,78.76,78,18,few clouds
273,Sankt Johann Im Pongau,AT,47.35,13.2,68.32,90,99,overcast clouds
274,Kiomboi,TZ,-4.2667,34.3667,62.42,52,62,broken clouds
275,Moba,CN,33.2288,105.0179,60.53,99,100,overcast clouds
276,Izumo,JP,35.3667,132.7667,71.55,94,75,light rain
277,Central Point,US,42.376,-122.9164,100.45,30,20,smoke
278,Zverinogolovskoye,RU,54.4586,64.8542,66.06,73,90,light rain
279,Bluffton,US,32.2371,-80.8604,83.95,81,20,few clouds
280,Belyy Yar,RU,53.6039,91.3903,53.49,100,0,clear sky
281,Ancud,CL,-41.8697,-73.8203,50.23,92,100,light rain
282,Yellowknife,CA,62.456,-114.3525,63.12,63,75,broken clouds
283,Bilibino,RU,68.0546,166.4372,41.85,87,100,overcast clouds
284,Clearwater,US,27.9659,-82.8001,80.82,90,1,light intensity drizzle
285,Copiapo,CL,-27.3667,-70.3333,51.49,52,90,overcast clouds
286,Orlik,RU,52.5178,99.825,55.74,95,100,light rain
287,San Quintin,MX,30.4833,-115.95,74.62,74,25,scattered clouds
288,Westport,US,41.1415,-73.3579,80.91,56,1,clear sky
289,Manggar,ID,-2.8833,108.2667,79.95,83,100,overcast clouds
290,Thinadhoo,MV,0.5333,72.9333,82.51,74,100,overcast clouds
291,Belaya Gora,RU,68.5333,146.4167,51.85,51,100,overcast clouds
292,Porbandar,IN,21.6422,69.6093,81.12,78,99,overcast clouds
293,Sakakah,SA,29.9697,40.2064,90.97,17,0,clear sky
