City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Lasa,IT,70.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
333,Tadine,NC,70.38,overcast clouds,-21.55,167.8833,Paradise Inn & Suites
335,Zavoi,RO,71.87,clear sky,45.5167,22.4167,Gura Jgheabului
336,Maragogi,BR,72.99,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
342,Port Blair,IN,79.0,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
346,Lagos,NG,79.12,overcast clouds,6.5833,3.75,Paradise Inn & Suites
349,Samarai,PG,79.0,scattered clouds,-10.6167,150.6667,Nuli Sapi
350,Jiaozuo,CN,74.48,overcast clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
357,Sabang,ID,81.3,light rain,5.8933,95.3214,Hotel Citra
359,Qinzhou,CN,80.26,light rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
361,Na Wa,TH,73.11,overcast clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
363,Fortuna,US,71.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
364,Barmer,IN,79.39,broken clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
365,High Rock,BS,86.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
367,Columbus,US,76.46,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
368,Namatanai,PG,83.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
369,Basseterre,KN,82.78,scattered clouds,17.2948,-62.7261,St. Kitts Marriott Resort & The Royal Beach Casino
372,Kasongo-Lunda,CD,84.0,overcast clouds,-6.4667,16.8167,Paradise Inn & Suites
375,Kavaratti,IN,81.01,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
376,Hami,CN,77.13,overcast clouds,42.8,93.45,Laoyutang Resort
377,Progreso,MX,86.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
378,Goderich,CA,76.03,clear sky,43.7501,-81.7165,Harmony Inn
380,Chortomlyk,UA,71.65,broken clouds,47.6232,34.142,Гостиница «Покров»
381,Meulaboh,ID,75.29,heavy intensity rain,4.1363,96.1285,Kost Pria
382,Juigalpa,NI,84.11,scattered clouds,12.1063,-85.3645,Ethos Inn
383,Tura,IN,74.39,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
384,Ozinki,RU,76.08,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
387,Bay Roberts,CA,74.95,scattered clouds,47.5999,-53.2648,Stonewall Inn
391,Mangrol,IN,81.16,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
393,Shimoda,JP,71.73,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
398,Rabo De Peixe,PT,72.91,scattered clouds,37.8,-25.5833,Quinta das Giestas
400,Gizo,SB,82.99,broken clouds,-8.103,156.8419,Imagination Island
401,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
408,Ahuimanu,US,87.78,clear sky,21.4447,-157.8378,Paradise Bay Resort
409,Jiazi,CN,81.55,clear sky,22.8779,116.067,Hotel Jin Hao
412,Daoukro,CI,72.73,broken clouds,7.0591,-3.9631,Komenan brou roseline
413,Itarema,BR,77.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
414,Jalu,LY,83.41,clear sky,29.0331,21.5482,صاحبة الفخامة
418,Obidos,BR,77.13,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
421,Lixourion,GR,78.78,clear sky,38.2019,20.4314,Hotel Summery
422,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
423,Camocim,BR,77.63,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
424,Shubarshi,KZ,71.37,clear sky,48.5872,57.1869,Paradise Inn & Suites
425,Cockburn Town,TC,82.71,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
427,Genoa,IT,80.15,clear sky,44.4129,8.9573,Best Western Hotel Moderno Verdi
428,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
429,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
432,Tual,ID,79.86,broken clouds,-5.6667,132.75,Grand Vilia Hotel
433,Buala,SB,83.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
434,Vanimo,PG,81.52,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
436,Katherine,AU,70.12,clear sky,-14.4667,132.2667,Pine Tree Motel
443,Panaba,MX,80.71,overcast clouds,21.2833,-88.2667,Posada rosario
444,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
445,Log,RU,70.92,light rain,49.4844,43.8613,Paradise Inn & Suites
446,Muncar,ID,76.24,broken clouds,-8.4333,114.3333,Zaky Homestay
448,Dwarka,IN,81.21,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
449,Luebo,CD,78.82,scattered clouds,-5.35,21.4167,Paradise Inn & Suites
451,Thessalon,CA,75.49,clear sky,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
452,Kawalu,ID,71.24,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
455,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
457,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
459,Mattru,SL,72.99,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
460,Beyneu,KZ,75.34,clear sky,45.3167,55.2,NUR
461,Piacabucu,BR,72.09,broken clouds,-10.4056,-36.4344,Piaçabuçu News
463,Pokhara,NP,70.36,overcast clouds,28.2333,83.9833,Butterfly Lodge
466,Constantine,DZ,81.81,clear sky,36.365,6.6147,Grand Hotel Cirta
468,Wawa,NG,73.96,moderate rain,9.9022,4.4192,Paradise Inn & Suites
469,Emba,KZ,73.11,clear sky,48.8264,58.1442,Paradise Inn & Suites
471,Kontagora,NG,72.28,light rain,10.3999,5.4695,Queens Guest Inn
474,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
475,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
476,Anloga,GH,77.22,broken clouds,5.7947,0.8973,Pin Drop Hotel
477,Caravelas,BR,70.05,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
